Lead,Sample_type,Sample_name,N,C,N_wt,C_wt,C_N_wt,,,,
RB,Blood,RBC1a,11.11,-16.23,13.4,48.7,3.6,,,,
RB,Blood,RBC3b,11.58,-16.16,14.2,48.6,3.4,,,,
RB,Blood,RBC4a,10.93,-15.70,13.8,47.7,3.5,,,,
RB,Blood,RBC5a,11.23,-17.09,14.0,48.3,3.4,,,,
RB,Blood,RBC7a,10.94,-17.65,13.9,48.3,3.5,,,,
RB,Blood,RBC8a,11.87,-15.89,14.2,48.6,3.4,,,,
RB,Blood,RBC9a,11.42,-15.92,13.8,47.4,3.4,,,,
RB,Blood,RBC10a,11.72,-15.98,14.4,49.3,3.4,,,,
RB,Blood,RBC11c,10.42,-17.10,13.9,48.4,3.5,,,,
RB,Blood,RBC12a,10.36,-16.62,14.1,48.3,3.4,,,,
RB,Blood,RBC13a,10.23,-16.52,14.4,49.1,3.4,,,,
RB,Blood,RBC14a,11.01,-16.36,13.7,48.1,3.5,,,,
RB,Blood,RBC15a,10.27,-17.13,13.7,49.6,3.6,,,,
RB,Blood,RBC16a,10.54,-15.60,13.7,47.8,3.5,,,,
RB,Blood,RBC17a,10.82,-16.60,13.7,47.7,3.5,,,,
RB,Blood,RBC18a,10.71,-16.54,13.8,47.8,3.5,,,,
RB,Blood,RBC20c,11.39,-16.38,14.3,49.5,3.5,,,,
RB,Blood,RBC21a,10.79,-16.92,14.2,48.6,3.4,,,,
RB,Blood,RBC22c,10.77,-16.92,14.1,48.8,3.5,,,,
RB,Skin,T01280,11.45,-14.41,14.7,43.3,2.9,,,,
RB,Skin,T01303,13.04,-14.62,14.9,44.0,3.0,,,,
RB,Skin,T01365,11.30,-13.87,14.3,43.7,3.0,,,,
RB,Skin,T01373,11.78,-14.32,14.3,42.4,3.0,,,,
RB,Skin,T01390,12.71,-14.33,14.1,43.5,3.1,,,,
RB,Skin,T01400,12.50,-16.00,14.6,44.4,3.0,,,,
RB,Skin,T01408,12.93,-15.03,14.5,42.4,2.9,,,,
RB,Skin,T01432,11.43,-14.71,14.8,44.6,3.0,,,,
RB,Skin,T01445,11.23,-14.77,14.5,43.6,3.0,,,,
RB,Skin,T01446,13.28,-14.80,14.7,44.0,3.0,,,,
RB,Skin,T01460,11.50,-14.60,14.4,44.4,3.1,,,,
RB,Skin,T01465,11.32,-15.11,14.4,43.9,3.0,,,,
RB,Skin,T01467,13.40,-14.18,14.7,43.4,2.9,,,,
RB,Skin,T01469,12.66,-14.46,14.8,44.2,3.0,,,,
RB,Skin,T01470,13.28,-15.86,14.6,44.4,3.0,,,,
RB,Skin,T01517,12.16,-14.87,14.4,43.7,3.0,,,,
RB,Skin,T01524,12.89,-15.02,14.5,44.9,3.1,,,,
RB,Skin,T01530,11.64,-15.06,14.6,43.6,3.0,,,,
RB,Skin,T01567,10.80,-14.83,14.7,44.5,3.0,,,,
RB,Skin,T01571,10.37,-15.06,14.9,45.2,3.0,,,,
RB,Skin,T01587,12.61,-14.66,14.7,43.8,3.0,,,,
RB,Blood,RBC23c,10.53,-16.72,14.3,48.8,3.4,,,,
RB,Blood,RBC24a,10.85,-16.80,14.5,49.5,3.4,,,,
RB,Blood,RBC25a,10.68,-16.66,14.3,48.5,3.4,,,,
RB,Blood,RBC26b,11.27,-16.68,14.3,48.4,3.4,,,,
RB,Blood,RBC27b,12.09,-15.56,14.0,47.9,3.4,,,,
RB,Blood,RBC28a,11.23,-16.82,14.4,48.5,3.4,,,,
RB,Blood,RBC29a,10.37,-16.46,14.5,48.9,3.4,,,,
RB,Blood,RBC30a,11.26,-15.91,14.3,48.6,3.4,,,,
RB,Blood,RBC31b,10.94,-16.72,14.2,48.5,3.4,,,,
RB,Blood,RBC32a,10.93,-16.55,14.0,47.9,3.4,,,,
RB,Blood,RBC33a,10.33,-16.32,14.4,49.3,3.4,,,,
RB,Blood,RBC34a,11.14,-16.07,14.4,48.4,3.4,,,,
RB,Blood,RBC35a,10.45,-16.85,14.2,49.6,3.5,,,,
RB,Blood,RBC36a,11.34,-16.29,14.7,49.5,3.4,,,,
RB,Blood,RBC37a,10.44,-16.46,14.1,48.5,3.4,,,,
RB,Blood,RBC38a,11.11,-16.66,14.4,48.8,3.4,,,,
RB,Blood,RBC39a,10.53,-16.73,14.3,48.7,3.4,,,,
RB,Blood,RBC40a,11.85,-16.64,14.1,48.8,3.5,,,,
RB,Blood,RBC41a,11.24,-16.09,14.8,49.2,3.3,,,,
RB,Blood,RBC42a,11.26,-16.04,14.3,48.5,3.4,,,,
RB,Blood,RBC43a,10.22,-16.98,14.2,48.8,3.4,,,,
RB,Blood,RBC44a,11.60,-17.19,14.4,48.7,3.4,,,,
RB,Blood,RBC45a,11.21,-16.67,14.6,49.1,3.4,,,,
