Rosie_ID,US_ID,Biologging ID,Turtle_ID,Sex,Life_stage,Status,Observation_ID,Observation_status,Latitude,Longitude,Flipper_tag_L,Flipper_tag_R,PIT_tag_L,PIT_tag_R,Location_code,Date,Time,CCL,SCL,Mass,CCW,BCI,CT,PT,VT,BCS,Plastron,Reproductive_status,L-M 1,L-M 2,L-M 3,L-S 1,L-S 2,L-S 3,R-M 1,R-M 2,R-M 3,R-S 1,R-S 2,R-S 3,Adipose_mass,Adipose_perc,Biopsy_no,Genetics_no,Blood_ID,Blood_RB,Cloaca_no,Mouth_no,Control_no,Internal temp,Tracker_type,PTT,Deployment_ID,CATS_ID,ARGOS _ID,VHF_Ch/Fr,GTR_tag,GTR_harness,Release_due,Time_tag_on,Turtle_release_time,Retrieval_date,Depth,SST,Comments
3,NA,NA,69558,F,Adult,T,287018,Initial Sighting,-18.03847,122.22767,WB14912,WB14928,9.00119E+14,NA,WK,25/06/2018,13:50,882,NA,NA,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7859,F8142,149,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,69559,F,Adult,T,287019,Initial Sighting,-18.02872,122.23503,WB14851,WB14852,9.00119E+14,NA,WK,25/06/2018,14:30,880,NA,NA,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7902,F8175,150,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,33421,F,Adult,T,287039,Resighting,-18.026433,122.24285,WB11192,WB14971,9.00006E+14,NA,BW,25/06/2018,15:30,860,NA,NA,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F8599,F8655,151,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,69560,M,Adult,T,287020,Initial Sighting,NA,NA,WB15079,WB15080,9.00119E+14,NA,NA,26/06/2018,12:00,814,NA,57,639,1.047551138,NA,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7850,F8072,153,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,69561,I,Subadult,T,287021,Initial Sighting,-18.03415,122.25865,WB14853,WB14854,9.00119E+14,NA,NA,26/06/2018,14:15,729,NA,NA,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,69562,F,Adult,T,287022,Initial Sighting,-18.0295,122.26593,WB14801,WB14802,9.00119E+14,NA,WK,26/06/2018,16:10,878,NA,75,687,1.108096838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7894,F8074,154,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,69563,F,Adult,T,287023,Initial Sighting,-18.02453,122.23558,WB14803,WB14804,9.00119E+14,NA,WK,27/06/2018,13:30,875,NA,82,718,1.216559767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F8010,F8688,155,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,69564,F,Adult,T,287024,Initial Sighting,-18.02935,122.2635,WB14856,WB14857,9.00119E+14,NA,WK,27/06/2018,15:00,902,NA,89,770,1.212747517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7910,F8075,156,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,69565,F,Adult,T,287025,Initial Sighting,-18.037,122.2893667,WB14776,WB15031,9.00119E+14,NA,WK,28/06/2018,12:15,900,NA,87,731,1.186556927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7994,F7892,157,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,69566,F,Adult,T,287026,Initial Sighting,-18.0356,122.2836667,WB14858,WB14859,9.00119E+14,NA,WK,28/06/2018,12:50,893,NA,80,703,1.116381811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F8683,F8698,158,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
